Date, Open, High, Low, Close
04/28/10, 6895.19, 6939.54, 6773.62, 6839.80
04/27/10, 7098.58, 7103.72, 6920.01, 6920.01
04/26/10, 7087.20, 7127.94, 7073.44, 7092.65
04/23/10, 7016.54, 7062.21, 6974.16, 7046.66
04/22/10, 7301.38, 7388.68, 6964.69, 7009.08
04/21/10, 7355.63, 7365.69, 7310.33, 7310.33
04/20/10, 7277.69, 7395.20, 7277.69, 7365.11
04/19/10, 7202.50, 7267.93, 7168.54, 7232.06
04/16/10, 7342.10, 7376.57, 7237.09, 7242.36
04/15/10, 7393.61, 7423.73, 7355.15, 7387.23
04/14/10, 7346.88, 7399.69, 7346.88, 7372.58
04/13/10, 7352.42, 7383.50, 7327.45, 7345.02
04/12/10, 7388.38, 7406.01, 7343.61, 7363.54
04/09/10, 7356.42, 7403.82, 7350.83, 7371.59
04/08/10, 7413.25, 7413.25, 7325.66, 7349.98
04/07/10, 7477.24, 7487.06, 7441.32, 7452.62
04/06/10, 7398.59, 7461.60, 7394.44, 7437.91
04/01/10, 7323.25, 7409.35, 7321.26, 7392.98
03/31/10, 7290.10, 7317.66, 7260.17, 7297.79
03/30/10, 7346.91, 7360.29, 7289.91, 7295.06
03/29/10, 7378.72, 7407.35, 7299.40, 7320.98
03/26/10, 7344.19, 7380.06, 7329.57, 7360.46
03/25/10, 7268.35, 7388.52, 7266.38, 7376.93
03/24/10, 7298.50, 7317.70, 7240.66, 7284.32
03/23/10, 7230.96, 7276.72, 7230.96, 7270.16
03/22/10, 7172.24, 7232.65, 7118.34, 7232.65
03/19/10, 7268.35, 7295.15, 7176.55, 7187.36
03/18/10, 7282.11, 7301.32, 7238.48, 7245.34
03/17/10, 7277.31, 7325.35, 7277.31, 7312.31
03/16/10, 7184.95, 7243.16, 7183.19, 7237.78
03/15/10, 7194.40, 7197.53, 7142.20, 7161.38
03/12/10, 7072.88, 7218.58, 7072.88, 7177.47
03/11/10, 7096.17, 7103.46, 7044.88, 7061.90
03/10/10, 7016.64, 7112.10, 7011.99, 7106.78
03/09/10, 7021.16, 7044.00, 6958.11, 7022.27
03/08/10, 6998.38, 7019.43, 6970.28, 7010.10
03/05/10, 6900.20, 6967.26, 6900.20, 6965.61
03/04/10, 6874.24, 6922.89, 6850.21, 6895.91
03/03/10, 6793.60, 6899.02, 6786.84, 6896.82
03/02/10, 6736.75, 6804.38, 6715.13, 6804.38
03/01/10, 6727.83, 6754.89, 6693.93, 6753.27
02/26/10, 6641.48, 6681.87, 6618.53, 6680.45
02/25/10, 6693.09, 6702.97, 6596.38, 6606.14
02/24/10, 6695.81, 6711.43, 6652.57, 6689.99
02/23/10, 6725.42, 6760.12, 6664.31, 6665.15
02/22/10, 6694.60, 6739.45, 6682.53, 6694.99
02/19/10, 6613.71, 6679.16, 6594.13, 6672.06
02/18/10, 6624.94, 6661.43, 6602.84, 6659.46
02/17/10, 6555.88, 6635.45, 6555.88, 6616.77
02/16/10, 6476.69, 6516.17, 6451.84, 6516.17
02/15/10, 6462.70, 6479.14, 6433.38, 6443.36
02/12/10, 6531.63, 6539.44, 6416.39, 6436.12
02/11/10, 6522.74, 6559.69, 6443.30, 6488.07
02/10/10, 6521.72, 6541.03, 6445.81, 6464.73
02/09/10, 6466.94, 6527.22, 6450.19, 6483.95
02/08/10, 6571.91, 7195.10, 6420.37, 6469.74
02/05/10, 6652.18, 6654.56, 6512.84, 6515.36
02/04/10, 6812.75, 6834.90, 6640.80, 6652.41
02/03/10, 6822.22, 6835.75, 6776.44, 6788.36
02/02/10, 6789.46, 6828.63, 6759.47, 6801.35
02/01/10, 6683.38, 6769.34, 6676.81, 6754.98
01/29/10, 6681.45, 6738.97, 6642.97, 6704.05
01/28/10, 6564.94, 6790.12, 6556.87, 6622.67
01/27/10, 6449.12, 6524.82, 6396.84, 6476.61
01/26/10, 6469.55, 6503.00, 6410.74, 6450.55
01/25/10, 6516.64, 6575.17, 6489.28, 6495.00
